ref:FR:prix-carburants,brand,name,operator,branch
31800009,TotalEnergies,Total Energies,,
66000021,Total,Total,,
66510001,Total,Total,,
30129002,Intermarché,,Intermarché,
30129003,Auchan,Auchan carburant,,
9100002,TotalEnergies,Total,,
9190005,Avia,Station Service Avia XPress,,
9190004,SARL Inter Club,Station Service Inter Club,,
94537002,TotalEnergies,TotalEnergies Access - Relais du Bas Marin,,
91380010,Total,Total,,
34370002,Système U,,,
9140003,Total,Station Service Total,Total,
91380009,BP,ESSO,,
94350003,Esso,Esso,,
91700005,Total Access,Total Access,Total,
91170006,Total,Relais Total De La Grande Borne,Total,
94380003,E.Leclerc,Station Service E. Leclerc,E. Leclerc,
94800007,Total Access,TotalEnergies Access,,
65600002,Elan,Station Saint-Christophe,,
65600001,Total,Total,Total,
64140006,Netto,Intermarché,,
91410004,E.Leclerc,Leclerc Carburants,,
91600005,TotalEnergies,Total,,
92240010,BP,BP,,
92170002,Total,Total,,
75012021,TotalEnergies,Total Relais du Bel Air,,
91470007,TotalEnergies,TotalEnergies,,
91640003,Total,Relais Total De Chanteraine,Total,
18000018,Total,Relais Total Bourges Camping,Total,
13500014,BP,,,
13500011,TotalEnergies,Total,,
30127001,Carrefour Market,Carrefour Market,,
30300003,Carrefour,Carrefour,,
13680008,TotalEnergies,Total,,
13680007,TotalEnergies,Relais Lançon de Provence,,
13130002,Carrefour Market,Carrefour Market Berre l'Étang,,
13340005,Shell,Shell,,
13130005,Dyneff,Le nouveau relais de Berre,,
13880001,Intermarché,Intermarché,,Intermarché
13741001,Carrefour,Station Service Carrefour,Carrefour,
13700010,Total Access,TotalEnergies Bolmon,,
13127012,Esso,Esso,BP,
75007003,Avia,Avia,,
13260002,TotalEnergies,Relais Sainte-Croix,,
13560002,Elan,Garage Semap,,
13660002,Independent,Campus,,
84300013,,Campus,,
13560004,Auchan,Auchan,,
13560003,,Station Auto Relax,,
13660005,Intermarché,Intermarché,,
13560005,Total,Total Contact - Station les Cèdres,,
84300011,TotalEnergies,Relais Total des Bas Banquets,Total,
13430002,Independent,Station du Sud,,
13016008,TotalEnergies,Total Access,Elf,
94400005,TotalEnergies,Relais de Vitry,Total,
94400003,Esso Express,Esso Express,Esso,
83170011,Eni,Eni Cambarette,,
83000012,Total,Total,Total,
13500012,TotalEnergies,Relais Canto Perdrix,,
13500001,Auchan,Auchan Martigues,,
83140007,Total,,Total,
92340002,TotalEnergies,TotalEnergies relais du Panorama,TotalEnergies,
13140002,Dyneff,Station service des Molières,,
13140005,Intermarché,Intermarché,,
13140010,Total Access,Relais du Mas Neuf,,
13140001,Carrefour,,,
83190006,Total,Relais Piedardan,,
11150001,Carrefour,Carrefour Market,,
11400002,Dyneff,,,
11400005,Intermarché,Intermarché,Intermarché,
66000003,Dyneff,,,
66000006,Total,Total,,
66270004,Carrefour,Carrefour Contact,,
75013028,BP,BP,BP,
45600002,Super U,Super U,Super U,
66000012,Petrop,Petror,,
94470006,Avia,Avia,,
11480009,Esso,Esso,,
11480007,Avia,Avia,,
11480008,Avia,Avia,,
11540001,TotalEnergies,TotalEnergies,,
11360002,Super U,Super U,U Express,
11130002,Carrefour,Carrefour,,
64260002,Carrefour Market,,,
64490001,Intermarché,Intermarché,,
91490004,Carrefour,Carrefour Market,Carrefour,
66530002,Esso,Esso,,
66170002,,Agnel & Fils,Agnel & Fils,
75013026,Esso,Esso,,
91230005,BP,,BP,
91210009,Système U,Système U,,
91210007,Total,Total,,
91130008,Intermarché,Intermarché,Groupement des Mousquetaires,
94600003,Esso Express,Esso Express,Esso,
66400004,Intermarché,Intermarché,Groupement des Mousquetaires,
66400006,Carrefour,Carrefour,,
9110003,Carrefour,Carrefour Contact,,
9110001,Intermarché,Intermarché,,
11590004,Auchan,Auchan,,
93160009,TotalEnergies,Relais du Grand Chêne,,
11100002,Dyneff,Dyneff,,
11100009,Esso,Esso Mistral,,
30132002,Intermarché,Intermarché,Groupement des Mousquetaires,
30132003,,,Dyneff,
83200004,Esso,Esso,Esso,
13890000,Independent,Station du Vallat,,
83500008,Avia,Avia Eurl Marina,,
91430003,BP,BP,BP,
91570004,TotalEnergies,TotalEnergies,,
77150004,Total,Total,,
94110004,Esso,Esso,Esso,
94542003,Avia,,Avia,
84400004,,,Intermarché,
94240004,BP,BP,,
94550002,TotalEnergies,TotalEnergies,Total,
91420004,Carrefour Market,,,
94500014,Esso,Esso,Esso,
83670002,,,Intermarché Barjols,
83670001,,,BP,
13004005,TotalEnergies,TotalEnergies,,
13000001,,,Groupement des Mousquetaires,
75016023,Esso,Esso,,
13200016,TotalEnergies,Total Access,,
13200020,TotalEnergies,Total Access,,
13200013,,Genevez Auto Station,,
30300006,TotalEnergies,Total,Total,
30300010,TotalEnergies,Total Access,,
13150001,Auchan,Auchan,,
91250011,Esso,Esso,Esso,
30230002,Carrefour,La Bouillarguaise,,
4100009,Independent,Station des Glycines,Ets Garcin Frères,
30390002,Carrefour Contact,Carrefour Contact,,
30490002,Intermarché,Intermarché,,
91080001,BP,BP,,
83400004,Esso Express,Esso Express,,
83400013,Total,Total Énergie,,
83400011,E.Leclerc,Station Saint-Hilaire,,
13008004,Esso Express,Esso Express Sablier,Esso,
13008008,Carrefour,Carrefour,Carrefour,
13008014,Avia,,,
91220005,BP,BP Plessis-Pâté Sud,BP,
77240002,Auchan,Auchan,,
77140011,Total,Station Total,Total,
45340005,Agip,,,
30000020,BP,BP,BP,
83260007,,La Crau,,
83400017,Intermarché,Intermarché,,
13650003,Avia,Avia,Avia,
84120008,Esso,,,
92380007,ESSO,Station ESSO Garches Porte Jaune,,
45680004,Intermarché,Intermarché,Groupement des Mousquetaires,
45680003,Intermarché,Intermarché,Groupement des Mousquetaires,
45210006,Total,Total,,
77140012,Shell,Shell,Shell,
78170006,BP,Esso,Esso,
92500015,Esso,Esso,,
13320010,Système U,,,
13320005,Esso,Station Esso Cabriès,Esso,
13320014,Agip,Agip,,
83470006,Total Access,,Total,Relais Total de l'Olympe
83640001,Système U,Station U,,
94460001,Carrefour,Carrefour Market,,
18000014,Carrefour,Carrefour Market,,
94594002,TotalEnergies,TotalEnergies,,
91460014,BP,Station BP,BP,
91460013,Esso,Esso,,
65510001,Avia,Avia,,
66690001,Intermarché,Intermarché,,
66330002,Intermarché,Intermarché,,
77340007,TotalEnergies,TotalEnergies,,
13600022,BP,BP,,
83330001,,Augier,,
30000012,Intermarché,Intermarché,Groupement des Mousquetaires,
45390002,Intermarché,Intermarché,Groupement des Mousquetaires,
18390004,Intermarché,Intermarché,,
18000002,Carrefour,Station Carrefour,Carrefour,
94290003,Intermarché,Intermarché,Groupement des Mousquetaires,
94190002,Esso Express,Esso Express,,
94190007,Total,Esso,Total Energy,
77600003,TotalEnergies,Relais Total De Bussy-Saint-Georges,Total,
94200008,Total,Total,Total,
91480002,Total,Total,Total,
94220003,Avia,Avia,Avia,
94170004,Esso,Esso,Esso,
91590009,Total Access,Relais Moulin du Gué,,
45250003,Super U,U Express,,
18410002,Système U,Station U,,
83330007,Avia,Avia,,
83270003,Intermarché,Intermarché,,
83270001,TotalEnergies,,,
75014012,Total,Total,,
91380011,BP,BP,,
84310004,Esso,Esso,,
84250002,,Peugeot Durance Auto,,
