ref:FR:prix-carburants,brand,name,operator,branch
40150001,Intermarché,Intermarché,,
40530002,Esso,Esso,Esso,
40530001,Esso,Esso,Esso,
40220002,Dyneff,Station Service Dyneff,,
44220001,Super U,,Système U,
40260009,TotalEnergies,Relais des Castets,TotalEnergies,
40230006,Leader Price,,,
40160003,Intermarché,Intermarché,Groupement des Mousquetaires,
40160005,,Deghuillem,,
91300007,Carrefour,Carrefour,Cora,
78760004,Total Access,Total Access,,
78310006,Total,Relais Maurepas,TOTAL,
78990010,TotalEnergies,Total Access,Total,
40150002,Super U,Super U,,
64780001,E. Leclerc,E. Leclerc,,
64240005,Carrefour,Carrefour Market,,
64220002,Total,Total,,
64220003,Intermarché,Intermarché,,
40140001,Elan,Elan,,
64240003,E.Leclerc,Station-service AVIA,,
64240006,E.Leclerc,E. Leclerc,,
64240004,Avia,Avia,,
64480004,Total,Total,SARL Garage Etchegaray,
64250006,Carrefour Market,Carrefour Market,Carrefour,
64520002,Intermarché,Intermarché,,
40660002,Système U,Station U,,
40180003,Intermarché,Intermarché,,
40100004,E.Leclerc,E. Leclerc,,
64100014,Total Access,Total Access,,
40180002,Total Contact,Total Contact,,
44120007,Système U,Station U,,
85530001,Système U,Système U,,
85140001,Système U,Station U,,
17530003,Carrefour,Carrefour Contact,,
17000007,Avia,Avia XPress,,
64200008,Esso Express,Esso Express,,
64310002,Netto,Netto,netto,
64600007,TotalEnergies,Total Access,,
40550001,Carrefour Market,Carrefour Market,Carrefour Market,
49270001,Avia,Avia,,
44521001,Total,Total,,
44850001,Super U,Station U,,
44450003,Carrefour,Carrefour market,,
44850002,Système U,Station U,,
44450002,Système U,Station U,,
44430003,Intermarché,Intermarché,,
44430004,E.Leclerc,Station Service E. Leclerc,,
33260012,Total Access,Total Access,,
64480005,Total,Total Contact,,
64480001,Super U,Super U,,
40200001,Carrefour,,,
33930001,,,Elan,
17920001,Avia,Avia,,
33470003,Station U,,Super U,
33470002,Carrefour Market,Carrefour Market,,
44370008,Total,Total,,
44370003,Total,Total,,
44370009,Esso,Total Energies,Esso,
49410002,,,Groupement des Mousquetaires,
85750002,Intermarché,Intermarché,,
85540003,Carrefour,Carrefour Contact,,
85250003,Dyneff,Dyneff - Aire de Chavagnes-en-Paillers,Dyneff,
85600005,Avia,Avia,,
85600002,Intermarché,,,
73730008,Agip,Agip Cevins,,
73540002,Système U,Station Essence,SuperU,
64250001,Intermarché,Intermarché,Groupement des Mousquetaires,
5200005,,Centre Auto Vianor,,
5200004,Intermarché,Intermarché,,
74170001,Elan,Garage Grandjacques,,
5200007,Avia,Avia,,
4000001,Carrefour,Carrefour,Carrefour,
38230002,Total,Total Énergies,,
38070001,Carrefour Market,Carrefour Market,,
73800005,Intermarché,Intermarché,,
38580004,Carrefour,Carrefour,,
38530004,Intermarché Contact,,,
73500006,Shell,Shell,Shell,
5230003,Intermarché,Intermarché,,
38380001,Netto,Netto,,
73330001,Super U,Hyper U,Système U,
74310002,Super U,,,
73000002,Carrefour,Station-service Carrefour Chamnord,,
73200003,Carrefour,,,
73600007,Eni,Eni,,
73600006,TotalEnergies,Relais du Doron,,
73600010,Casino,Casino,,
85130006,Système U,La Station U,,
85130005,Station U,Station U,,
85640001,Esso,Esso,,
73200001,Carrefour,,,
44000006,Intermarché,Intermarché,Les Mousquetaires,
73460002,E.Leclerc,station service E. Leclerc,,
44390004,Carrefour,Carrefour Contact,,
85000004,TotalEnergies,TotalEnergies,Total,
92420003,BP,BP Ultimate,,
64430001,Intermarché,Intermarché,,
78390005,TotalEnergies,Total,Total,
38260004,Total,,Total,
1300003,Intermarché,Intermarché,,
84390001,Intermarché,Intermarché,Les Mousquetaires,
17300004,Intermarché,Intermarché,,
17300006,Esso Express,Esso express,,
17600004,E.Leclerc,,,
17201001,,Picoty Atlantique Services,,
85430001,,,,
85540002,Intermarché,Intermarché,,
85170005,TotalEnergies,TotalEnergies,,
85170006,E. Leclerc,,,
85360001,Système U,Station U,Super U La Tranche Sur Mer,
38100003,BP,BP,,
44330003,Système U,,,
17690004,Avia,Avia Xpress,,
85000002,Carrefour,Carrefour,,
73182003,Agip,Agip,Agip,
73420005,Total,Total,Total,
5260001,Total,Total Chabottes,Ranguis J.P.,
5100009,E.Leclerc,Station Service E.Leclerc,,
49000011,Intermarché,Intermarché,Groupement des Mousquetaires,
49000013,Total,TotalEnergies - Relais Baumettes A,Total,
64600009,E.Leclerc,Station Service E.Leclerc,,
64600002,Carrefour,Carrefour,,
38860001,,Carbel,,
5160001,U,Station service Super U,Super U,
40600004,Station U,Station U,Les Magasins U,
38510005,,Super U,Super U,
73490003,Total Access,Total Access,,
73490002,Super U,Super U,Super U,
5120002,Carrefour,Carrefour,,
73130004,Total,Total Contact,Elan,
73300005,Total,Total Contact,,
4170002,TotalEnergies,TotalEnergies,,
4170003,U,U Express,U Express,
38460005,,,,
73120001,Elan,Garage du Grand Pont,,
1510003,Carrefour Contact,,,
4240002,,Station Intermarché,Intermarché,
52100008,Esso,Station Esso Express,Esso,
52100016,TotalEnergies,TotalEnergies,,
52100014,Intermarché,Intermarché,,
52100010,Total,Total,,
52100003,Total,,SARL BRIVOT ET CHEVALIER,
52112001,,C.c. Cora,Cora,
52100015,TotalEnergies,TotalEnergies,,
57270001,Total,Total,Bordoni,
57310001,Match,,,
69150004,TotalEnergies,TotalEnergies,,
69740002,Esso,Esso,,
17210006,Avia,Avia,,
17210007,Avia,Avia,,
1320001,Elan,Elan,Elan,
1230003,Elan,Elan,,
1230002,Avia,Avia,,
1500006,Total,Total,,
1800003,Intermarché,Intermarché,,
4140001,Intermarché,Intermarché,,
49300014,Esso Express,Esso Express,Esso,
49300009,Intermarché,Sation Intermarché,Intermarché,
49300010,Avia,Avia,,
49300018,E.Leclerc,Station Service E. Leclerc,E.Leclerc,
49140001,Super U,Super U,,
49140003,Carrefour,Carrefour Contact,,
49800002,Super U,Station U,,
49630007,Carrefour,,,
17400006,Esso,Esso,,
33250004,Intermarché,Intermarché,Groupement des Mousquetaires,
33250006,Carrefour,Carrefour,,
79600004,Avia,Avia,,
17350003,Total,Total Contact,,
16730001,Avia,Avia,,
38080006,Total,Relais L'Isle d'Abeau nord,Total,
1980001,Total,,,
74000004,Esso Express,Esso Express,Esso,
38090005,Netto,Netto,SAS Dalorenzo,
17470001,Intermarché,Intermarché,,
16250001,Carrefour,Carrefour Contact,,
16120004,Carrefour,Carrefour Contact,,
44330001,Super U,Super U,,
73400001,Elan,Total Energies,,
73200006,Total,Total,,
17000012,Total,Total,,
38300022,Fuel For Planet,,,
74150002,Système U,La Station U,Hyper U,
44115003,Total Access,Total Access,Total,
2100021,,Netto,,
2430001,Intermarché,Intermarché,Groupement des Mousquetaires,
51500007,Carrefour,Carrefour,,
80200005,Esso,Esso,,
80340003,,Vanderstraeten,,
80200012,Carrefour,Carrefour,Carrefour,
80700009,Total Access,Total Access,,
17590002,U,La Station U,,
2310001,Système U,,Super U,
2310003,TotalEnergies,Total,,
44000009,TotalEnergies,Total,Total,
44190004,TotalEnergies,Total,Total,
49230003,Pohu,,,
49710001,Total,TotalEnergies,,
73000013,TotalEnergies,Total Access,Total,
5700002,,Les Chambons,,
5400002,Super U,,,
38100013,Esso,Esso,,Grenoble Vercors
38340011,Total,,,
38340012,Total Access,Total Access,Total,
85560001,,,Elan,
44470005,Super U,Super U,Super U,
17550001,Intermarché,Intermarché Hyper,Groupement des Mousquetaires,
85310002,Total,Total Contact,,
85310001,Avia,Garage du Moulin Rouge,,
17310001,Système U,Station U,,
17310003,Total,Total,,
73600002,Super U,Super U,,
73340001,,Cattin Frères,Cattin Frères,
74220001,,Total,,
38850002,Total,Garage Henri Chaboud,,
35800003,Intermarché,Intermarché,,
39230002,Avia,Avia,,
39230002,Avia,Avia,,
39230003,Avia,Avia,,
21500004,,Netto,,
71220002,Station U,,Super U,
71300013,Intermarché,Intermarché,,
71450001,,Maximarché,,
71120001,Avia,Avia,SARL Ribeiro,
71300015,Total,Total,,
71230003,,,Agip,
25640009,Shell,Shell,,
25640007,TotalEnergies,Relais Total De Marchaux,Total,
70190005,Intermarché,Intermarché,,
21000024,Intermarché,Intermarché,Intermarché,
39140001,TotalEnergies,TotalEnergies,Jonathan Rateau,
74450001,Total,Total Contact,,
73150003,Avia,Avia,,
73200002,Carrefour,Station Carrefour Market,,
21000011,Esso Express,Esso Express,,
39270002,Système U,Station U,,
21110003,Esso,Esso,Esso,
21110002,,,Total,
21240003,Super U,Super U,,
17450001,Station U,Station U,,
10250001,Avia,Avia,,
10340001,Avia,Garage Roy,,
10110002,Intermarché,Intermarché,Groupement des Mousquetaires,
21330001,Avia,Avia,,
10110001,Esso,Esso,,
21000029,Total,Total,,
44840002,Total Access,Relais Total de Vertou,Total,
44120004,Total,Relais Total de La Grassinière,Total,
25720013,Eni,Eni,,
25320001,Carrefour Contact,Carrefour Contact,,
52000008,TotalEnergies,Total,Total,
39190007,TotalEnergies,Total,,
71100011,Intermarché,Station Essence Intermarché,Groupement des Mousquetaires,
71100022,E.Leclerc,Station Service E.Leclerc,E. Leclerc,
76430005,Super U,La Station U,,
69200008,E.Leclerc,Leclerc Vénissieux,E. Leclerc,
69320008,,,,
69800015,Total,Relais Saint-Priest les Brigoudes,,
73290008,Eni,Agip,,
73000017,Super U,Super U,,
73000014,TotalEnergies,Total Access,Total,
69300010,Total,Total,,
21000017,Avia,Avia,Avia,
21000010,Esso,Esso,Esso,
21000027,Total,Total,Total,
21600008,Avia,Avia,,
21600006,Total,Total,,
21150001,bi1,bi1,,
21150002,Station U,Super U,Super U,
24600003,Intermarché,Intermarché,Groupement des Mousquetaires,
24350002,Intermarché,Intermarché,,
16600001,Intermarché,Ruelle,,
33390001,Total,Total,,
33390004,Station U,Station U,,
17270001,Intermarché,Intermarché,,
16360002,Intermarché,Intermarché,,
16300004,Intermarché,Intermarché,,
16360001,TotalEnergies,TotalEnergies,,
16300005,E.Leclerc,Station Service E.Leclerc,,
16300001,TotalEnergies,TotalEnergies,,
16170001,Super U,Super U,Super U,
17600006,E.Leclerc,E.Leclerc,,
17250002,Carrefour,Carrefour Market,,
17120005,Total Contact,Total Contact,,
17120005,Station U,Station U,,
17132001,Station U,Station U,,
17560004,E.Leclerc,E. Leclerc,,
17480003,E.Leclerc,Station Service E. Leclerc,,
17500003,Intermarché,Intermarché,,
17600005,Avia,Avia,,
17520002,Total,TotalEnergies,La mécanique Jarnacaise,
74210002,Avia,Avia,,
17580002,Carrefour,Carrefour Contact,,
44240004,Intermarché,Intermarché,Groupement des Mousquetaires,
24300007,TotalEnergies,Garage du Stade,Total,
24340002,Carrefour,Carrefour Contact,,
17240001,Total,,,
17230004,Intermarché,Intermarché,,
17230002,Station U,Super U,,
17410001,E.Leclerc,Station Service E. Leclerc,E. Leclerc,
17410002,Intermarché,Intermarché,Groupement des Mousquetaires,
44190002,Total,Total,,
44120005,Total Access,Total Access,Total,
17600003,Intermarché,Intermarché,,
44190001,Super U,Super U,,
33910001,Intermarché,Intermarché,Intermarché,
33133002,Station U,Super U,Super U,
33620003,Carrefour,Carrefour,,
33133003,,,Elan,
51000013,Total Access,Relais Elf de Saint-Thiebaut,Total,
17100014,TotalEnergies,Total,,
33620001,Super U,Station service SuperU,Super U,
54630001,Esso,Esso,,
55200002,Match,Match,Match,
55200003,Total,Total,,
55200004,Intermarché,,Groupement des Mousquetaires,
54200005,Avia,Avia,,
17100005,E.Leclerc,Station Service E.Leclerc,,
33920005,Avia,Avia,,
33920006,Avia,Avia,Avia,
55190003,Total Access,Relais Total De La Porte De La Meuse,Total,
33112001,Système U,,,
33480002,Total,Total,Total,
33460006,Carrefour Contact,Carrefour Contact,,
33480008,TotalEnergies,Total,,
33340004,Carrefour,Carrefour,,
54230001,Esso Express,Esso Express,,
33121002,Carrefour,Carrefour Contact Station Service,,
33240007,,,Groupement des Mousquetaires,
33920003,Intermarché,Intermarché,,
33240011,Total,Total,,
69007006,Total,Total,,
17200001,Super U,Super U,,
38550002,Système U,Station U,,
17520001,Carrefour Contact,Carrefour Contact,,
17100001,TotalEnergies,Total,,
42220004,TotalEnergies,Total Contact,,
7430006,Avia,Avia,,
42000021,Dyneff,Dyneff,,
17800005,Esso,Esso,Shell,
17800001,Esso,Esso,BP,
17260001,Super U,Super U,Super U,
42150001,Carrefour,,Carrefour,
69004016,Eni,Eni,Agip,
69004002,Esso Express,Esso Express,,
42800004,Avia,Avia,Avia,
38340006,Système U,Système U,,
38500005,Esso Express,Esso Express,,
38430004,Intermarché,Intermarché,,
73160003,E. Leclerc,E. Leclerc Aime-la-Plagne,,
16500006,Esso,Esso,Esso,
16110005,Esso,,,
16260002,Intermarché,Intermarché Super,Groupement des Mousquetaires,
16270001,U,U Express,,
16110006,E.Leclerc,E. Leclerc,,
16500002,Intermarché,Intermarché Super,,
44150001,Avia,Station Avia Picoty,Avia,
38240003,Carrefour,,Carrefour,
69330001,Carrefour Market,Carrefour Market,,
69120012,,Garibaldi Automobiles,,
69500012,Station service intermarché,Station service intermarché,Casino,
69100032,Eni,Eni Villeurbanne Blum,,
42100018,TotalEnergies,Total Access,,
42410005,TotalEnergies,TotalEnergies,,
42290002,TotalEnergies,TotalEnergies,,
69571001,Auchan,Auchan,Auchan,
38690007,Agip,,,
38690006,Système U,Station U,,
38110004,Intermarché,Station Service Intermarché,,
69720002,Esso,,,
69720005,Intermarché,Intermarché,Groupement des Mousquetaires,
42660001,Avia,Garage Favier,,
69340002,Esso,Esso,Esso,
69390007,Agip,Agip,,
69390008,TotalEnergies,TotalEnergies,,
38140009,Netto,,,
42230002,DL LUB S.A.S,DL Lub,DL LUB S.A.S,
42000014,TotalEnergies,Total Access,,
69530002,Carrefour Contact,Carrefour Contact,,
38570005,Système U,,,
38110006,Carrefour,Carrefour,,
34980001,Carrefour,Carrefour,Carrefour,
34000011,Intermarché,Intermarché,,
93330006,Total Access,Total Access,,
93100017,BP,Esso,,
38340013,Total,Total,,
38340018,Eni,Eni,,
93140004,BP,,,
93250009,,Carrefour city,BP,
69130003,Esso Express,Esso Express,,
17220002,Intermarché,Intermarché,,
17320004,E.Leclerc,Station Service E. Leclerc,,
17390002,Intermarché,Intermarché,,
79500005,Intermarché,Intermarché,Groupement des Mousquetaires,
79110002,Avia,,,
50230001,Système U,Station U,,
50560001,Carrefour,Carrefour,,
30310001,Système U,Station U,,
86180002,Système U,Système U,,
37360001,Super U,Super U,,
34380002,Spar,Spar,,
34790004,Système U,Station U,,
34430003,Carrefour,Carrefour,Carrefour,
68130002,Système U,Station U,,
68560001,E.Leclerc,E. Leclerc,,
68120002,Système U,Station U,,
68120005,Total,Station Total Service Joanny,Total,
68200018,Total Access,Total Access,,
68200025,Eni,Eni,Eni,
68040002,Esso,Garage Wackenthaller,Shell,
68040001,Total,Total,Total,
54300011,TotalEnergies,TotalEnergies,TotalEnergies,
54300007,Intermarché,Intermarché,,
88440001,DATS 24,DATS 24,Colruyt Group,
25240001,bi1,bi1,,
88150004,Total,Total Thaon,,
88150001,Match,Match,,
88150005,Super U,Super U,,
54210002,Match,Match,,
88250001,Total,Total,,
25300002,Total Access,Total,Total,
88130001,Match,,,
88130002,E.Leclerc,Station Service E.Leclerc,E. Leclerc,
68690001,Total,Total Contact,,
70300007,E. Leclerc,,,
70300008,,GME,,
70300011,Agip,Agip,,
70300009,Total Contact,Total Contact Saint-Sauveur,SARL BOCHER GUILLOT,
70300004,,Station Maison du Pneu Mariotte,,
70300001,Auchan,,Auchan,
88600002,Independent,,E. Leclerc,
88600003,Intermarché,Intermarché,,
88600001,Total,Total,,
90150001,Total,Total Trois Sapins,Total,
68210002,Intermarché,Intermarché Super,Groupement des Mousquetaires,
68210001,Total,Total,,
68370002,Intermarché,Intermarché,,
68160002,Super U,Super U,Super U,
88000009,,Relais des images (Total),,
88160003,Intermarché,Intermarché,,
88200017,Intermarché,Intermarché,Groupement des Mousquetaires,
25600004,Avia,Avia,,
88360002,Intermarché,,,
88200001,Carrefour,,Carrefour,
88200018,Total,Total,Total,
88100008,Eni,Eni,Eni,
88250003,Station U,Station U,,
88290001,TotalEnergies,Total,Total,
90000015,Total Access,Total Access,Total,
88200015,TotalEnergies,Total - Porte des Hautes-Vosges,Total,
88550001,Super U,Super U,,
88100005,Intermarché,Intermarché,,
90000002,TotalEnergies,Total,,
90130002,Intermarché,Intermarché,,
70000001,Carrefour,Station Carrefour,Carrefour,
70000005,Avia,Avia,ETS DORMOY FRERES 1,
70000007,Intermarché,Intermarché,,
54450002,Elan,Elan,Masson,
88110002,E.Leclerc,Station Service E. Leclerc,E. Leclerc,
88400005,TotalEnergies,Total access,Elf,
54450003,Intermarché,Intermarché,,
25160001,Fiat,Station Service - Garage du Coude,Garage du Coude,
90200003,Total,Total,,
68200020,Total,Total,,
25120004,Intermarché,Station Service Intermarché,Intermarché,
90100004,Avia,Avia,Garage du Stade,
90100003,Intermarché,Intermarché,,
25420001,,Atac,,
25200003,Système U,Station U,,
25420005,Avia,Avia,,
68240003,Intermarché,Intermarché,,
88230001,Total,Total,,
88650001,Système U,Station U,,
88650004,TotalEnergies,Total,Total,
88580001,Total,Total,,
88650005,DATS 24,Dats 24,,
68190001,,,Intermarché,
68190003,Auchan,Auchan,,
68170004,E.Leclerc,E. Leclerc,,
88390003,Intermarché,Intermarché,,
88270001,Intermarché,Intermarché,,
88025001,Carrefour,Carrefour,Carrefour,
68127001,Avia,Station-service Avia,,
68127002,Intermarché,Intermarché,Colruyt,
85190004,Intermarché,,Intermarché,
84340002,Elan,,,
33610001,Super U,Super U,,
33610005,Intermarché,Intermarché,,
47200011,Elan,Elan,,
47400004,Total Access,,,
33110003,Monoprix,Monoprix,Groupe Casino,
33300005,Total Access,Total access,,
33110009,Avia,Avia,,
33310009,Carrefour,Carrefour,,
84000021,TotalEnergies,Total Access,,
5000008,Intermarché,Intermarché,Groupement des Mousquetaires,
67000032,Eni,Eni,Agip,
67460001,TotalEnergies,Total,Total,
67800011,TotalEnergies,Total,,
67760001,Super U,Super U,,
67850002,Spar,Spar,Spar,
67840002,TotalEnergies,TotalEnergies,Garage Laas,
67400005,TotalEnergies,Total,Total,
67000002,,Match,,
67360002,Super U,Super U,,
67100002,Esso Express,Esso Express,,
67400001,Auchan,Auchan,Auchan,
7100008,Brossier Énergies,,,
7380001,Elan,,,
26240002,Total,Station Total Echinard et Faure,Total,
26240004,Esso,Esso,,
26140006,Total,,,
26240008,Netto,,,
7320004,Carrefour,Carrefour Contact,Carrefour,
84100006,Total,Total Contact,,
85670002,Esso,Esso,,
44650001,Super U,Super U,,
68520006,Total,Relais la Porte d'Alsace Nord,Total,
68490002,Intermarché,Intermarché,,
68490001,Total,Total Contact,,
68170003,Total,Total,Total,
7150001,TotalEnergies,TotalEnergies,,
30380002,,,,
30100014,Total Access,Relais Total de la Chadenede,Total,
76290001,Auchan,Auchan,Auchan,
76290003,Intermarché,Intermarché,,
76280002,Carrefour,Carrefour Market,,
76280004,TotalEnergies,TotalEnergies,,
76133001,Carrefour Market,Carrefour Market,Groupe Carrefour,
61120001,Avia,Avia,Avia,
61160001,Carrefour,Carrefour,,
14420003,Carrefour,Carrefour,,
7270001,Système U,Station U,,
50430002,Intermarché,Intermarché,Intermarché,
50250003,Total,Total,,
50160001,Carrefour,Carrefour,Carrefour Market,
50160004,Esso,Esso,Esso,
50160003,Elan,,,
14240001,Intermarché,Intermarché,,
14350002,TotalEnergies,Garage Renault,,
67510001,TotalEnergies,Station du Fleckenstein,,
67800001,,Match,,
29740001,Système U,,,
29640001,,Spar,,
67160001,Match,Match,,
6500004,Intermarché,Intermarché,,
6500005,Intermarché,Intermarché,,
6500010,Esso,Esso,,
67000031,Eni,Eni,Eni,
67270003,Intermarché,Intermarché,,
67200011,TotalEnergies,Total,Total,
67550003,TotalEnergies,Total,,
67116002,E.Leclerc,E. Leclerc Express,,
67452001,Carrefour,Carrefour,Carrefour,
22390001,Carrefour Contact,Carrefour Contact,,
22160003,Intermarché,Intermarché,Groupement des Mousquetaires,
22110002,E. Leclerc,,,
22480001,Station U,Super U,Super U,
22290002,,Total Energies,,
22500006,Avia,Avia,,
67170008,TotalEnergies,TotalEnergies,Total,
67170005,Super U,Super U,Super U,
67170006,Intermarché,Intermarché,,
22740001,,Meyer Energies,Meyer Energies,
22710001,,,,
14640001,TotalEnergies,TotalEnergies,,
30470001,Super U,Super U,,
50590004,Carrefour,Carrefour,Carrefour Contact,
14120002,Total,Total,,
61100008,E.Leclerc,Station Service E. Leclerc,,
61100003,Carrefour,Carrefour,Carrefour,
61100012,Total,Total,,
14880001,Auchan,Auchan,,
7100006,Total,Total Contact,,
30330003,Intermarché,Intermarché,,
7250004,Avia,Avia,Avia,
7250001,TotalEnergies,TotalEnergies,Garage HAKYOTO,
26700001,Carrefour Market,Carrefour Market,,
7240002,Intermarché,Intermarché,Intermarché,
67110003,Intermarché,Intermarché,Groupement des Mousquetaires,
67110001,,Match,,
67110002,TotalEnergies,Total,,
67110006,U,Station essence Super U,,
26270009,Agip,Agip,,
26270006,E.Leclerc,Station Service E.Leclerc,E. Leclerc,
26700002,Intermarché,BRICOCASH Mousquetaire,INTERMARCHE,
50470001,Auchan,Auchan,,
38190001,Carrefour,,,
84170002,,Station service SARL Bernaud,,
26100009,Avia,"Avia - Avenue Louis Saillant - D532, Romans-sur-Isère",Avia,
26100002,Système U,Système U,Hyper U,
26300012,TotalEnergies,TotalEnergies,TotalEnergies,
26300005,Esso Express,Esso Express,,
26300013,Carrefour,,,
56500004,Intermarché,Intermarché,,
56390001,Carrefour,Carrefour,,
56500002,Carrefour,Carrefour,Indipend.,
29290001,Carrefour,Carrefour,Carrefour,
22140003,Total,Total Contact,,
56660001,Intermarché,,Groupement des Mousquetaires,
22470001,Total,Total,,
22500001,Carrefour,Carrefour,Carrefour,
22500003,TotalEnergies,Total Access,,
38800003,TotalEnergies,Relais Villancourt,Total,
7190002,TotalEnergies,TotalEnergies,SARL Le Moulinon Auto,
26740006,,Natura' Pro Cooperative,,
33320003,,,Groupement des Mousquetaires,
33700012,Intermarché,Intermarché,,
40460001,Intermarché,Intermarché,Groupement des Mousquetaires,
40460002,Intermarché,Station Service Intermarché,Intermarché,
33950001,Système U,Station U,,
29620001,Système U,Station U,,
26190002,Intermarché,Intermarché,,
22700002,Intermarché,Intermarché,Groupement des Mousquetaires,
22730001,Station U,Super U,Super U,
29190001,Intermarché,Intermarché,Intermarché,
67202003,Total Access,Total,Total,
67810001,E.Leclerc,E. Leclerc,,
67370003,E.Leclerc,E. Leclerc,,
22300007,Intermarché,Intermarché,Groupement des Mousquetaires,
29150004,Intermarché,Intermarché,Groupement des Mousquetaires,
29170004,Total,Total,,
88340001,Intermarché,Intermarché,,
70220003,DATS 24,Dats 24,,
88220004,Intermarché,Intermarché,Intermarché,
70800002,Total,Total,,
88240001,Intermarché,Intermarché,,
70800003,Carrefour,Carrefour Express,,
70320004,Intermarché,Intermarché,,
34070002,Auchan,Auchan,Auchan Carburants,
71240008,Fulli,Fulli,Fulli,
71260007,Intermarché,Intermarché,,
71240009,BP,Station BP de la Ferté,BP,
21800009,TotalEnergies,TotalEnergies,Total,
21800007,Système U,Station U,,
21800012,Avia,,,
71250004,Avia,Avia,,
29200016,Total Access,Total Access,Total,
29550001,Intermarché,Intermarché,Groupement des Mousquetaires,
22220001,,La Station U,,
30700001,Carrefour,Station Essence,,
30700007,Total Access,Total Access,,
84100011,Netto,Netto,,
69200003,Super U,Super U,Super U,
25440002,Intermarché,,,
71150004,Eni,,,
30700006,Dyneff,Dyneff,,
10360001,Avia,Station du Bocage,,
10310001,TotalEnergies,Total,,
21400005,Intermarché,Intermarché,Groupement des Mousquetaires,
21400002,TotalEnergies,Total,Total,
21400010,Independent,Station Le Marmont,,
33660004,Dyneff,Station Dyneff,,
47120001,,,Carrefour,
47120002,,Le Relais des Ducs,,
67100009,Eni,Eni,Eni,
69500009,TotalÉnergies Access,,Total,
42400007,Total Access,Total Access,,
6500008,Total,Total,,
67000005,Avia,Avia,,
69500008,Total Access,Total Access,Total,
67660003,Intermarché,Intermarché,Groupement des Mousquetaires,
67660002,TotalEnergies,Total,Total,
67250001,,Match,Match,
7340001,Total,Total,,
7100007,Intermarché,Intermarché,,
7100002,Système U,Station U,,
7430002,Carrefour Market,Carrefour Market,,
7340002,E.Leclerc,Station Service E.Leclerc,,
73370001,,Garage Miniggio,,
69390005,Système U,Système U,,
69360011,Total,Station Service Total Access,Total,
69360018,Avia,Avia,Avia,
38300008,E.Leclerc,Station service E. Leclerc,E. Leclerc,
67114001,Système U,Station U,,
73400005,Avia,,,
38500001,Carrefour,Carrefour,,
38500007,TotalEnergies,Total Access,Elf,
38290006,Avia,Avia,,
38290005,U,,,
67800014,Eni,Eni,,
42000019,Eni,Eni,,
38490004,Intermarché,Station service Intermarché,Groupement des Mousquetaires,
73240001,Netto,,,
39210001,AVIA,AVIA Xpress,AVIA,
25870002,Station U,Super U,Super U,
25000020,Avia,Avia,Avia,
21350002,Shell,Shell,Shell,
21320007,Eni,Eni,,
21320009,Esso,,,
71540001,Carrefour,,,
25290005,Avia,Avia Ornans,Avia,
39140006,Eni,Eni,ENI France SARL,
39130004,TotalEnergies,TotalEnergies,,
39130008,Carrefour,Carrefour Express,Carrefour,
39130010,Total,TotalEnergies,Garage Bouillier,
71710004,Avia,Avia,,
71200013,Eni,Eni,,
71710002,TotalEnergies,Total,,
71330001,Super U,Station U,,
71500001,Avia,Avia Xpress,,
71500003,TotalEnergies,TotalEnergies,,
71500007,Avia,Avia,,
33400005,Intermarché,Intermarché,,
33720009,Carrefour,Carrefour Contact,,
21200011,,Gas Station (Netto / Les Mousquetaires),Les Mousquetaires,
21200007,BP,BP,BP,
21200003,Esso,Esso Beaune Sud,,
29390002,E.Leclerc,E. Leclerc,,
29140003,Total Contact,Total Contact,,
29140002,Système U,Station U,,
22302001,Total Access,Arcadie Lannion,Total,
29900004,Intermarché,,,
29900005,TotalEnergies,TotalEnergies,Relais de Concarneau,
29910004,Intermarché,Intermarché,,
68630003,Total,Total Energies,,
25430003,Avia,Avia,,
25430001,,Maximarché,,
88700001,,,Match,
88700007,Total Contact,Total Contact,Total,
88700003,Intermarché,,Groupement des Mousquetaires,
54450004,Total,Total,,
85690001,U,U Express,,
44740002,Avia,Avia,,
44260005,Station U,Station U,Hyper U,
44750002,Intermarché,Intermarché,,
44260006,Intermarché,Intermarché,Intermarché,
56640001,Super U,Super U,,
44210004,Total,Station Service Route Bleue,Peugeot,
44210002,Intermarché,Intermarché,Groupement des Mousquetaires,
44550001,Système U,Système U,,
44480002,Intermarché,,Station Marché,
44130001,Super U,Super U,Super U,
44130004,TotalEnergies,Total,,
56170003,Super U,Super U,,
56640002,,,Intermarché,
44360010,Super U,Super U,,
85220002,Système U,Station U,,
85150001,Avia,Poids-Lourds,,
85300006,Esso,Esso,,
85670003,Système U,Station U,,
85300001,TotalEnergies,Total Contact,,
85300004,Intermarché,Intermarché,,
44530003,U,Super-U,Super-U,
35600004,Total,Total,,
44700003,Intermarché,,,
44500004,Esso,,,
44119005,Total,Total,Total,
44360007,E.Leclerc,Station Service E. Leclerc,E.Leclerc,
44360008,Total,Total,,
44350006,Intermarché,Intermarché,,
64500003,Carrefour,Carrefour,Carrefour,
64210005,TotalEnergies,Relais Bidart Est,,
64210004,Intermarché,Intermarché,Groupement des Mousquetaires,
56860003,Intermarché,Intermarché Super,,
44600011,Auchan,Auchan,,
44600007,E.Leclerc,Station E. Leclerc,E. Leclerc,
44220003,Total,Total,Total,
70270001,Avia,Avia,,
68880001,,Match,,
44320007,U,,,
44580002,Independent,,,
44350007,,Station Essence,Avia,
44410001,E. Leclerc,Station Leclerc Herbignac,Leclerc,
